Year,Month,Global,NH,SH,Day,Date
1859,5,-0.099,0.264,-0.825,15,1859-05-15
1859,6,-0.021,0.189,-0.442,15,1859-06-15
1859,7,0.027,0.248,-0.416,15,1859-07-15
1859,8,-0.085,0.087,-0.428,15,1859-08-15
1859,9,-0.55,-0.362,-0.925,15,1859-09-15
1859,10,-0.205,-0.338,0.062,15,1859-10-15
1859,11,-0.321,0.016,-0.995,15,1859-11-15
1859,12,-0.958,-1.14,-0.593,15,1859-12-15
1860,1,-0.241,-0.214,-0.294,15,1860-01-15
1860,2,-1.296,-1.38,-1.127,15,1860-02-15
1860,3,-1.954,-2.502,-0.858,15,1860-03-15
1860,4,-0.542,-0.517,-0.593,15,1860-04-15
1860,5,-0.525,-0.092,-1.391,15,1860-05-15
1860,6,-0.139,0.144,-0.707,15,1860-06-15
1860,7,-0.104,-0.065,-0.184,15,1860-07-15
1860,8,0.112,0.044,0.249,15,1860-08-15
1860,9,-0.28,-0.143,-0.553,15,1860-09-15
1860,10,-0.479,-0.343,-0.751,15,1860-10-15
1860,11,-1.487,-1.576,-1.307,15,1860-11-15
1860,12,-2.316,-2.913,-1.12,15,1860-12-15
1861,1,-2.213,-2.78,-1.079,15,1861-01-15
1861,2,-0.082,0.177,-0.599,15,1861-02-15
1861,3,0.048,-0.081,0.305,15,1861-03-15
1861,4,-0.866,-1.471,0.344,15,1861-04-15
1861,5,-0.982,-0.88,-1.185,15,1861-05-15
1861,6,-0.038,0.047,-0.209,15,1861-06-15
1861,7,-0.007,0.327,-0.675,15,1861-07-15
1861,8,0.319,0.431,0.096,15,1861-08-15
1861,9,-0.289,-0.254,-0.358,15,1861-09-15
1861,10,-0.389,-0.326,-0.515,15,1861-10-15
1861,11,-0.887,-0.951,-0.758,15,1861-11-15
1861,12,-0.471,-0.352,-0.711,15,1861-12-15
1862,1,-1.571,-2.177,-0.36,15,1862-01-15
1862,2,-1.413,-1.852,-0.537,15,1862-02-15
1862,3,-0.656,-1.136,0.304,15,1862-03-15
1862,4,-0.499,-0.591,-0.313,15,1862-04-15
1862,5,-0.427,-0.474,-0.333,15,1862-05-15
1862,6,-0.344,-0.671,0.311,15,1862-06-15
1862,7,-0.533,-0.432,-0.735,15,1862-07-15
1862,8,-0.748,-0.552,-1.139,15,1862-08-15
1862,9,-0.356,-0.292,-0.483,15,1862-09-15
1862,10,-0.583,-0.51,-0.73,15,1862-10-15
1862,11,-0.919,-1.37,-0.017,15,1862-11-15
1862,12,-1.336,-1.875,-0.258,15,1862-12-15
1863,1,1.062,1.856,-0.525,15,1863-01-15
1863,2,0.214,0.731,-0.82,15,1863-02-15
1863,3,-0.501,-0.168,-1.166,15,1863-03-15
1863,4,-0.406,-0.178,-0.861,15,1863-04-15
1863,5,-0.419,0.095,-1.447,15,1863-05-15
1863,6,-0.499,-0.397,-0.701,15,1863-06-15
1863,7,-0.607,-0.506,-0.809,15,1863-07-15
1863,8,-0.404,0.004,-1.22,15,1863-08-15
1863,9,-0.296,0.13,-1.147,15,1863-09-15
1863,10,-0.694,-0.463,-1.154,15,1863-10-15
1863,11,-0.371,0.051,-1.215,15,1863-11-15
1863,12,-0.654,-0.509,-0.945,15,1863-12-15
1864,1,-1.508,-1.54,-1.444,15,1864-01-15
1864,2,-0.705,-0.359,-1.396,15,1864-02-15
1864,3,-0.471,-0.359,-0.696,15,1864-03-15
1864,4,-0.731,-0.798,-0.596,15,1864-04-15
1864,5,-0.774,-0.907,-0.506,15,1864-05-15
1864,6,0.243,0.508,-0.285,15,1864-06-15
1864,7,-0.235,-0.055,-0.594,15,1864-07-15
1864,8,-0.497,-0.276,-0.937,15,1864-08-15
1864,9,-0.408,-0.441,-0.342,15,1864-09-15
1864,10,-1.373,-1.623,-0.872,15,1864-10-15
1864,11,-1.47,-1.964,-0.482,15,1864-11-15
1864,12,-1.33,-1.639,-0.712,15,1864-12-15
1865,1,-0.203,0.324,-1.256,15,1865-01-15
1865,2,-1.392,-1.889,-0.399,15,1865-02-15
1865,3,-1.515,-2.078,-0.387,15,1865-03-15
1865,4,-0.435,-0.534,-0.236,15,1865-04-15
1865,5,-0.467,-0.045,-1.31,15,1865-05-15
1865,6,-0.27,-0.431,0.054,15,1865-06-15
1865,7,0.104,0.407,-0.502,15,1865-07-15
1865,8,-0.444,-0.35,-0.633,15,1865-08-15
1865,9,0.123,0.376,-0.384,15,1865-09-15
1865,10,-0.526,-0.564,-0.45,15,1865-10-15
1865,11,0.023,0.09,-0.11,15,1865-11-15
1865,12,-0.369,-0.376,-0.355,15,1865-12-15
1866,1,0.656,1.162,-0.355,15,1866-01-15
1866,2,-0.831,-0.917,-0.658,15,1866-02-15
1866,3,-0.942,-1.235,-0.357,15,1866-03-15
1866,4,-0.354,-0.272,-0.518,15,1866-04-15
1866,5,-0.788,-1.094,-0.175,15,1866-05-15
1866,6,-0.036,0.237,-0.581,15,1866-06-15
1866,7,-0.051,0.204,-0.561,15,1866-07-15
1866,8,-0.421,-0.368,-0.525,15,1866-08-15
1866,9,-0.001,0.254,-0.511,15,1866-09-15
1866,10,-0.894,-1.063,-0.555,15,1866-10-15
1866,11,-0.799,-0.527,-1.342,15,1866-11-15
1866,12,-0.543,-0.335,-0.96,15,1866-12-15
1867,1,-0.708,-0.988,-0.148,15,1867-01-15
1867,2,0.134,0.514,-0.624,15,1867-02-15
1867,3,-1.933,-2.571,-0.656,15,1867-03-15
1867,4,-0.803,-0.818,-0.774,15,1867-04-15
1867,5,-1.405,-1.971,-0.274,15,1867-05-15
1867,6,-0.422,-0.508,-0.252,15,1867-06-15
1867,7,-0.362,-0.356,-0.374,15,1867-07-15
1867,8,-0.335,-0.167,-0.669,15,1867-08-15
1867,9,-0.205,-0.074,-0.468,15,1867-09-15
1867,10,-0.09,-0.104,-0.063,15,1867-10-15
1867,11,-0.597,-0.729,-0.333,15,1867-11-15
1867,12,-1.146,-1.342,-0.755,15,1867-12-15
1868,1,-1.314,-1.351,-1.24,15,1868-01-15
1868,2,-1.162,-1.119,-1.248,15,1868-02-15
1868,3,-0.46,-0.375,-0.628,15,1868-03-15
1868,4,-0.811,-0.672,-1.087,15,1868-04-15
1868,5,0.077,0.24,-0.25,15,1868-05-15
1868,6,-0.031,0.125,-0.342,15,1868-06-15
1868,7,0.269,0.683,-0.561,15,1868-07-15
1868,8,0.097,0.375,-0.458,15,1868-08-15
1868,9,-0.413,-0.352,-0.534,15,1868-09-15
1868,10,-0.18,-0.26,-0.021,15,1868-10-15
1868,11,-1.11,-1.384,-0.562,15,1868-11-15
1868,12,-0.353,-0.099,-0.86,15,1868-12-15
1869,1,-0.286,-0.266,-0.325,15,1869-01-15
1869,2,0.63,1.343,-0.795,15,1869-02-15
1869,3,-1.102,-1.356,-0.595,15,1869-03-15
1869,4,-0.5,-0.462,-0.576,15,1869-04-15
1869,5,-0.506,-0.465,-0.59,15,1869-05-15
1869,6,-0.417,-0.344,-0.562,15,1869-06-15
1869,7,-0.391,0.074,-1.323,15,1869-07-15
1869,8,0.171,0.345,-0.178,15,1869-08-15
1869,9,-0.047,0.06,-0.261,15,1869-09-15
1869,10,-0.805,-0.746,-0.925,15,1869-10-15
1869,11,-0.59,-0.634,-0.501,15,1869-11-15
1869,12,-0.546,-0.654,-0.33,15,1869-12-15
1870,1,-0.068,0.159,-0.521,15,1870-01-15
1870,2,-1.215,-1.731,-0.182,15,1870-02-15
1870,3,-1.041,-1.23,-0.665,15,1870-03-15
1870,4,-0.599,-0.477,-0.841,15,1870-04-15
1870,5,-0.251,0.178,-1.109,15,1870-05-15
1870,6,-0.043,0.156,-0.441,15,1870-06-15
1870,7,-0.008,0.471,-0.966,15,1870-07-15
1870,8,-0.72,-0.379,-1.401,15,1870-08-15
1870,9,-0.309,-0.323,-0.281,15,1870-09-15
1870,10,-0.605,-0.769,-0.277,15,1870-10-15
1870,11,-0.181,0.092,-0.726,15,1870-11-15
1870,12,-1.837,-2.436,-0.638,15,1870-12-15
1871,1,-1.281,-1.653,-0.537,15,1871-01-15
1871,2,-1.488,-2.078,-0.308,15,1871-02-15
1871,3,-0.36,0.113,-1.308,15,1871-03-15
1871,4,-0.461,-0.189,-1.006,15,1871-04-15
1871,5,-0.799,-1.047,-0.304,15,1871-05-15
1871,6,-0.519,-0.522,-0.515,15,1871-06-15
1871,7,0.015,0.165,-0.284,15,1871-07-15
1871,8,0.046,0.181,-0.225,15,1871-08-15
1871,9,-0.638,-0.74,-0.434,15,1871-09-15
1871,10,-0.636,-0.521,-0.866,15,1871-10-15
1871,11,-1.217,-1.495,-0.661,15,1871-11-15
1871,12,-1.168,-1.607,-0.29,15,1871-12-15
1872,1,-0.275,-0.374,-0.078,15,1872-01-15
1872,2,-0.693,-0.737,-0.604,15,1872-02-15
1872,3,-0.733,-0.762,-0.674,15,1872-03-15
1872,4,-0.226,0.225,-1.127,15,1872-04-15
1872,5,-0.131,0.348,-1.089,15,1872-05-15
1872,6,-0.103,-0.007,-0.295,15,1872-06-15
1872,7,-0.169,0.057,-0.621,15,1872-07-15
1872,8,-0.36,0.183,-1.447,15,1872-08-15
1872,9,-0.315,-0.091,-0.763,15,1872-09-15
1872,10,-0.112,-0.132,-0.072,15,1872-10-15
1872,11,-0.495,-0.678,-0.13,15,1872-11-15
1872,12,-0.898,-1.122,-0.451,15,1872-12-15
1873,1,-0.312,-0.075,-0.788,15,1873-01-15
1873,2,-0.638,-0.543,-0.829,15,1873-02-15
1873,3,-0.691,-0.623,-0.828,15,1873-03-15
1873,4,-1.091,-1.304,-0.664,15,1873-04-15
1873,5,-0.628,-0.917,-0.05,15,1873-05-15
1873,6,0.242,0.113,0.498,15,1873-06-15
1873,7,-0.208,0.182,-0.989,15,1873-07-15
1873,8,0.052,0.09,-0.024,15,1873-08-15
1873,9,-0.34,-0.62,0.219,15,1873-09-15
1873,10,-0.436,-0.501,-0.307,15,1873-10-15
1873,11,-0.947,-0.876,-1.089,15,1873-11-15
1873,12,-0.049,0.136,-0.418,15,1873-12-15
1874,1,0.008,0.553,-1.08,15,1874-01-15
1874,2,-0.433,-0.129,-1.042,15,1874-02-15
1874,3,-1.034,-0.913,-1.277,15,1874-03-15
1874,4,-0.591,-0.64,-0.494,15,1874-04-15
1874,5,-0.862,-0.544,-1.498,15,1874-05-15
1874,6,-0.461,-0.115,-1.153,15,1874-06-15
1874,7,-0.296,-0.002,-0.885,15,1874-07-15
1874,8,-0.306,-0.158,-0.6,15,1874-08-15
1874,9,-0.037,0.185,-0.479,15,1874-09-15
1874,10,-0.343,-0.03,-0.967,15,1874-10-15
1874,11,-0.713,-0.62,-0.899,15,1874-11-15
1874,12,-0.39,-0.356,-0.457,15,1874-12-15
1875,1,-1.081,-1.463,-0.315,15,1875-01-15
1875,2,-1.341,-1.818,-0.387,15,1875-02-15
1875,3,-1.444,-1.775,-0.781,15,1875-03-15
1875,4,-0.955,-1.19,-0.484,15,1875-04-15
1875,5,-0.316,-0.208,-0.532,15,1875-05-15
1875,6,-0.249,0.181,-1.107,15,1875-06-15
1875,7,-0.204,-0.126,-0.359,15,1875-07-15
1875,8,-0.257,-0.213,-0.344,15,1875-08-15
1875,9,-0.561,-0.66,-0.363,15,1875-09-15
1875,10,-0.755,-0.879,-0.508,15,1875-10-15
1875,11,-1.247,-1.548,-0.645,15,1875-11-15
1875,12,-1.161,-1.186,-1.11,15,1875-12-15
1876,1,-0.415,-0.349,-0.546,15,1876-01-15
1876,2,-0.406,-0.235,-0.748,15,1876-02-15
1876,3,-0.452,-0.732,0.108,15,1876-03-15
1876,4,-0.41,-0.397,-0.435,15,1876-04-15
1876,5,-0.791,-1.037,-0.298,15,1876-05-15
1876,6,-0.092,0.317,-0.91,15,1876-06-15
1876,7,0.142,0.261,-0.095,15,1876-07-15
1876,8,-0.18,0.153,-0.846,15,1876-08-15
1876,9,-0.103,-0.151,-0.009,15,1876-09-15
1876,10,-0.535,-0.455,-0.696,15,1876-10-15
1876,11,-1.361,-1.466,-1.15,15,1876-11-15
1876,12,-1.717,-2.286,-0.579,15,1876-12-15
1877,1,-0.339,-0.558,0.097,15,1877-01-15
1877,2,-0.352,-0.414,-0.229,15,1877-02-15
1877,3,-0.492,-0.899,0.321,15,1877-03-15
1877,4,-0.861,-1.091,-0.401,15,1877-04-15
1877,5,-0.912,-0.832,-1.071,15,1877-05-15
1877,6,-0.092,0.085,-0.444,15,1877-06-15
1877,7,0.208,0.129,0.366,15,1877-07-15
1877,8,0.194,0.288,0.007,15,1877-08-15
1877,9,-0.325,-0.219,-0.538,15,1877-09-15
1877,10,-0.424,-0.55,-0.173,15,1877-10-15
1877,11,0.125,0.242,-0.109,15,1877-11-15
1877,12,-0.147,-0.051,-0.34,15,1877-12-15
1878,1,-0.426,-0.53,-0.219,15,1878-01-15
1878,2,0.354,0.866,-0.671,15,1878-02-15
1878,3,0.612,0.923,-0.01,15,1878-03-15
1878,4,0.227,0.499,-0.317,15,1878-04-15
1878,5,-0.536,-0.348,-0.912,15,1878-05-15
1878,6,-0.119,0.447,-1.25,15,1878-06-15
1878,7,-0.075,0.119,-0.464,15,1878-07-15
1878,8,0.055,0.277,-0.39,15,1878-08-15
1878,9,0.307,0.337,0.248,15,1878-09-15
1878,10,0.12,0.252,-0.144,15,1878-10-15
1878,11,-0.047,-0.107,0.073,15,1878-11-15
1878,12,-1.011,-1.035,-0.961,15,1878-12-15
1879,1,-0.476,-0.492,-0.445,15,1879-01-15
1879,2,-0.602,-0.39,-1.026,15,1879-02-15
1879,3,-0.517,-0.26,-1.032,15,1879-03-15
1879,4,-0.747,-0.583,-1.075,15,1879-04-15
1879,5,-0.651,-0.35,-1.252,15,1879-05-15
1879,6,-0.647,-0.415,-1.112,15,1879-06-15
1879,7,-0.364,-0.221,-0.651,15,1879-07-15
1879,8,-0.315,-0.257,-0.431,15,1879-08-15
